Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
208,1264,B, 27,H,    5, 1.50, 1.50,   250.80,
208,1264,B, 27,H,    6, 1.50, 1.50,   252.30,
208,1264,B, 27,H,    7, 0.78, 0.78,   253.80,
208,1264,B, 27,H,CC(7), 0.12, 0.12,   254.58,
208,1264,B, 28,H,    1, 1.50, 1.50,   254.30,
208,1264,B, 28,H,    2, 1.50, 1.50,   255.80,
208,1264,B, 28,H,    3, 1.50, 1.50,   257.30,
208,1264,B, 28,H,    4, 1.50, 1.50,   258.80,
208,1264,B, 28,H,    5, 1.50, 1.50,   260.30,
208,1264,B, 28,H,    6, 1.00, 1.00,   261.80,
208,1264,B, 28,H,    7, 0.58, 0.58,   262.80,
208,1264,B, 28,H,CC(7), 0.17, 0.17,   263.38,
208,1264,B, 29,H,    1, 1.50, 1.50,   263.80,
208,1264,B, 29,H,    2, 1.50, 1.50,   265.30,
208,1264,B, 29,H,    3, 1.50, 1.50,   266.80,
208,1264,B, 29,H,    4, 1.50, 1.50,   268.30,
208,1264,B, 29,H,    5, 1.50, 1.50,   269.80,
208,1264,B, 29,H,    6, 1.50, 1.50,   271.30,
208,1264,B, 29,H,    7, 0.62, 0.62,   272.80,"0/0"
208,1264,B, 29,H,CC(7), 0.10, 0.10,   273.42,"All to PAL."
208,1264,B, 30,H,    1, 1.50, 1.50,   273.30,
208,1264,B, 30,H,    2, 1.50, 1.50,   274.80,
208,1264,B, 30,H,    3, 1.50, 1.50,   276.30,
208,1264,B, 30,H,    4, 1.50, 1.50,   277.80,
208,1264,B, 30,H,    5, 1.50, 1.50,   279.30,
208,1264,B, 30,H,    6, 1.50, 1.50,   280.80,
208,1264,B, 30,H,    7, 0.76, 0.76,   282.30,
208,1264,B, 30,H,CC(7), 0.13, 0.13,   283.06,
208,1264,C,  1,H,    1, 1.45, 1.45,     0.00,
208,1264,C,  1,H,    2, 1.37, 1.37,     1.45,
208,1264,C,  1,H,   CC, 0.18, 0.18,     2.82,
