XDIS-ASCII-Export of ASP.webview_sections_view_aspx, created on 11/16/2017 1:20:18 PM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION_LABEL	INIT_LENGTH	REV_LENGTH	TOP_DEPTH	BOTTOM_DEPTH	MCD_TOP	ANALYST	IGSN	REMARKS	CC	
208	1264	A	1	H	1	1.5	1.5	0	1.5	2.96	na	&nbsp;	                                             	no	
208	1264	A	1	H	2	1.5	1.5	1.5	3	4.46	na	&nbsp;	                                             	no	
208	1264	A	1	H	3	1.5	1.5	3	4.5	5.96	na	&nbsp;	                                             	no	
208	1264	A	1	H	4	1.5	1.5	4.5	6	7.46	na	&nbsp;	                                             	no	
208	1264	A	1	H	5	1.5	1.5	6	7.5	8.96	na	&nbsp;	                                             	no	
208	1264	A	1	H	6	1	1	7.5	8.5	10.46	na	&nbsp;	                                             	no	
208	1264	A	1	H	7	0.57	0.57	8.5	9.07	11.46	na	&nbsp;	                                             	no	
208	1264	A	1	H	CC	0.28	0.28	9.07	9.35	12.03	na	&nbsp;	                                             	yes	
208	1264	A	2	H	1	1.5	1.5	9.3	10.8	13.63	na	&nbsp;	                                             	no	
208	1264	A	2	H	2	1.5	1.5	10.8	12.3	15.13	na	&nbsp;	                                             	no	
208	1264	A	2	H	3	1.5	1.5	12.3	13.8	16.63	na	&nbsp;	                                             	no	
208	1264	A	2	H	4	1.5	1.5	13.8	15.3	18.13	na	&nbsp;	                                             	no	
208	1264	A	2	H	5	1.5	1.5	15.3	16.8	19.63	na	&nbsp;	                                             	no	
208	1264	A	2	H	6	1.5	1.5	16.8	18.3	21.13	na	&nbsp;	                                             	no	
208	1264	A	2	H	7	0.64	0.64	18.3	18.94	22.63	na	&nbsp;	                                             	no	
208	1264	A	2	H	CC	0.2	0.2	18.94	19.14	23.27	na	&nbsp;	                                             	yes	
208	1264	A	3	H	1	1.5	1.5	18.8	20.3	24.69	na	&nbsp;	                                             	no	
208	1264	A	3	H	2	1.5	1.5	20.3	21.8	26.19	na	&nbsp;	                                             	no	
208	1264	A	3	H	3	1.5	1.5	21.8	23.3	27.69	na	&nbsp;	                                             	no	
208	1264	A	3	H	4	1.5	1.5	23.3	24.8	29.19	na	&nbsp;	                                             	no	
208	1264	A	3	H	5	1.5	1.5	24.8	26.3	30.69	na	&nbsp;	                                             	no	
208	1264	A	3	H	6	1.2	1.2	26.3	27.5	32.19	na	&nbsp;	                                             	no	
208	1264	A	3	H	7	0.6	0.6	27.5	28.1	33.39	na	&nbsp;	                                             	no	
208	1264	A	3	H	CC	0.24	0.24	28.1	28.34	33.99	na	&nbsp;	                                             	yes	
208	1264	A	4	H	1	1.5	1.5	28.3	29.8	35.36	na	&nbsp;	                                             	no	
208	1264	A	4	H	2	1.5	1.5	29.8	31.3	36.86	na	&nbsp;	                                             	no	
208	1264	A	4	H	3	1.5	1.5	31.3	32.8	38.36	na	&nbsp;	                                             	no	
208	1264	A	4	H	4	1.5	1.5	32.8	34.3	39.86	na	&nbsp;	                                             	no	
208	1264	A	4	H	5	1.5	1.5	34.3	35.8	41.36	na	&nbsp;	                                             	no	
208	1264	A	4	H	6	1.5	1.5	35.8	37.3	42.86	na	&nbsp;	                                             	no	
208	1264	A	4	H	7	0.5	0.5	37.3	37.8	44.36	na	&nbsp;	                                             	no	
208	1264	A	4	H	CC	0.28	0.28	37.8	38.08	44.86	na	&nbsp;	                                             	yes	
208	1264	A	5	H	1	1.5	1.5	37.8	39.3	46.15	na	&nbsp;	                                             	no	
208	1264	A	5	H	2	1.5	1.5	39.3	40.8	47.65	na	&nbsp;	                                             	no	
208	1264	A	5	H	3	1.5	1.5	40.8	42.3	49.15	na	&nbsp;	                                             	no	
208	1264	A	5	H	4	1.5	1.5	42.3	43.8	50.65	na	&nbsp;	                                             	no	
208	1264	A	5	H	5	1.5	1.5	43.8	45.3	52.15	na	&nbsp;	                                             	no	
208	1264	A	5	H	6	1.5	1.5	45.3	46.8	53.65	na	&nbsp;	                                             	no	
208	1264	A	5	H	7	0.62	0.62	46.8	47.42	55.15	na	&nbsp;	                                             	no	
208	1264	A	5	H	CC	0.18	0.18	47.42	47.6	55.77	na	&nbsp;	                                             	yes	
208	1264	A	6	H	1	1.5	1.5	47.3	48.8	57.71	na	&nbsp;	                                             	no	
208	1264	A	6	H	2	1.5	1.5	48.8	50.3	59.21	na	&nbsp;	                                             	no	
208	1264	A	6	H	3	1.5	1.5	50.3	51.8	60.71	na	&nbsp;	                                             	no	
208	1264	A	6	H	4	1	1	51.8	52.8	62.21	na	&nbsp;	                                             	no	
208	1264	A	6	H	5	0.88	0.88	52.8	53.68	63.21	na	&nbsp;	                                             	no	
208	1264	A	6	H	6	1.3	1.3	53.68	54.98	64.09	na	&nbsp;	                                             	no	
208	1264	A	6	H	7	0.92	0.92	54.98	55.9	65.39	na	&nbsp;	                                             	no	
208	1264	A	6	H	CC	0.39	0.39	55.9	56.29	66.31	na	&nbsp;	                                             	yes	
208	1264	A	7	H	1	1.5	1.5	56.8	58.3	68.24	na	&nbsp;	                                             	no	
208	1264	A	7	H	2	1.5	1.5	58.3	59.8	69.74	na	&nbsp;	                                             	no	
208	1264	A	7	H	3	1.5	1.5	59.8	61.3	71.24	na	&nbsp;	                                             	no	
208	1264	A	7	H	4	1.5	1.5	61.3	62.8	72.74	na	&nbsp;	                                             	no	
208	1264	A	7	H	5	1.5	1.5	62.8	64.3	74.24	na	&nbsp;	                                             	no	
208	1264	A	7	H	6	1.5	1.5	64.3	65.8	75.74	na	&nbsp;	                                             	no	
208	1264	A	7	H	7	0.79	0.79	65.8	66.59	77.24	na	&nbsp;	                                             	no	
